id,url
aquisicao-de-livros,https://www.sorocaba.unesp.br/#!/sobre-o-campus/biblioteca/sobre-a-biblioteca/aquisicao-de-livros
consulta-ao-acervo,https://www.sorocaba.unesp.br/#!/sobre-o-campus/biblioteca/consulta-ao-acervo
acervo-digital,https://www.sorocaba.unesp.br/#!/sobre-o-campus/biblioteca/acervo-digital
base-de-dados,https://www.sorocaba.unesp.br/#!/sobre-o-campus/biblioteca/acervo-digital/base-de-dados
e-books,https://www.sorocaba.unesp.br/#!/sobre-o-campus/biblioteca/acervo-digital/e-books
normas-tecnicas,https://www.sorocaba.unesp.br/#!/sobre-o-campus/biblioteca/acervo-digital/normas-tecnicas
pautas-e-atas---conselho-dea,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/teste2/pautas-e-atas---conselho-dea
equipe,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/equipe
tecnicas-do-dea,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/equipe/tecnicas-do-dea
ensino,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/ensino
pesquisa,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/pesquisa
estrutura,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/laboratorios/estrutura
linhas-de-pesquisa,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/pesquisa/linhas-de-pesquisa
grupos-de-pesquisa,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/pesquisa/grupos-de-pesquisa
servidores,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/equipe/servidores
laboratorios,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/laboratorios
linhas-de-pesquisa,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/linhas-de-pesquisa
formularios,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/formularios
afastamento-de-docente,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/formularios/afastamento-de-docente
laboratorios,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/formularios/laboratorios
