id,url,last_modified,date,updated_by,responsible
equipe,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/laboratorios/equipe,Not Found,Not Found,Not Found,Not Found
grade-curricular,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/grade-curricular,Atualizada em 21/Ago/2024 08:47 por Fabiane - Responsável: Carina Yurie Esaki,21/Ago/2024,Fabiane,Carina Yurie Esaki
informacoes-sobre-o-programa,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/informacoes-sobre-o-programa,Atualizada em 28/Mai/2024 11:33 por Marcos Dionizio - Responsável: Rogerio Moreno Rosa,28/Mai/2024,Marcos Dionizio,Rogerio Moreno Rosa
apresentacao,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/informacoes-sobre-o-programa/apresentacao,Atualizada em 28/Mai/2024 11:33 por Marcos Dionizio - Responsável: Rogerio Moreno Rosa,28/Mai/2024,Marcos Dionizio,Rogerio Moreno Rosa
missao-e-visao-do-programa,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/informacoes-sobre-o-programa/missao-e-visao-do-programa,Atualizada em 11/Ago/2025 11:31 por Isabela Rita Hernendes Peres - Responsável: Isabela Rita Hernendes Peres,11/Ago/2025,Isabela Rita Hernendes Peres,Isabela Rita Hernendes Peres
areas-de-concentracao-e-linhas-de-pesquisa,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/informacoes-sobre-o-programa/areas-de-concentracao-e-linhas-de-pesquisa,Atualizada em 12/Fev/2025 11:39 por Renan Roberto Rubim - Responsável: Isabela Rita Hernendes Peres,12/Fev/2025,Renan Roberto Rubim,Isabela Rita Hernendes Peres
objetivos,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/informacoes-sobre-o-programa/objetivos,Atualizada em 12/Fev/2025 16:07 por Renan Roberto Rubim - Responsável: Isabela Rita Hernendes Peres,12/Fev/2025,Renan Roberto Rubim,Isabela Rita Hernendes Peres
historico-do-programa,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/informacoes-sobre-o-programa/historico-do-programa,Atualizada em 12/Fev/2025 11:39 por Renan Roberto Rubim - Responsável: Isabela Rita Hernendes Peres,12/Fev/2025,Renan Roberto Rubim,Isabela Rita Hernendes Peres
grade-curricular,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/informacoes-sobre-o-programa/grade-curricular,Not Found,Not Found,Not Found,Not Found
corpo-docente,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/informacoes-sobre-o-programa/corpo-docente,Not Found,Not Found,Not Found,Not Found
planejamento-estrategico,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/informacoes-sobre-o-programa/planejamento-estrategico,Atualizada em 24/Fev/2025 08:48 por Renan Roberto Rubim - Responsável: Isabela Rita Hernendes Peres,24/Fev/2025,Renan Roberto Rubim,Isabela Rita Hernendes Peres
destaques-do-programa-egressos-e-dissertacoes,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/informacoes-sobre-o-programa/destaques-do-programa-egressos-e-dissertacoes,Atualizada em 19/Ago/2025 10:45 por Isabela Rita Hernendes Peres - Responsável: Isabela Rita Hernendes Peres,19/Ago/2025,Isabela Rita Hernendes Peres,Isabela Rita Hernendes Peres
contato,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/informacoes-sobre-o-programa/contato,Not Found,Not Found,Not Found,Not Found
portal-do-aluno,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/portal-do-aluno,Atualizada em 16/Out/2025 15:47 por Isabela Rita Hernendes Peres - Responsável: Isabela Rita Hernendes Peres,16/Out/2025,Isabela Rita Hernendes Peres,Isabela Rita Hernendes Peres
calendario,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/portal-do-aluno/calendario,Not Found,Not Found,Not Found,Not Found
horarios,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/portal-do-aluno/horarios,Atualizada em 03/Out/2025 13:53 por Renan Roberto Rubim - Responsável: Isabela Rita Hernendes Peres,03/Out/2025,Renan Roberto Rubim,Isabela Rita Hernendes Peres
formularios,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/portal-do-aluno/formularios,Atualizada em 30/Jun/2025 09:17 por Lilian - Responsável: Isabela Rita Hernendes Peres,30/Jun/2025,Lilian,Isabela Rita Hernendes Peres
procedimentos-para-entrega-da-versao-final,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/portal-do-aluno/procedimentos-para-entrega-da-versao-final,Not Found,Not Found,Not Found,Not Found
comissao-de-bolsas,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/portal-do-aluno/comissao-de-bolsas,Atualizada em 19/Mar/2024 12:08 por Lilian - Responsável: Isabela Rita Hernendes Peres,19/Mar/2024,Lilian,Isabela Rita Hernendes Peres
aluno-especial,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/portal-do-aluno/aluno-especial,Atualizada em 12/Set/2025 15:48 por Isabela Rita Hernendes Peres - Responsável: Isabela Rita Hernendes Peres,12/Set/2025,Renan Roberto Rubim,Isabela Rita Hernendes Peres
calendario,https://www.sorocaba.unesp.br/#!/sobre-o-campus/administracao/congregacao/calendario,Atualizada em 03/Set/2025 11:29 por Renan Roberto Rubim - Responsável: Isabela Rita Hernendes Peres,03/Set/2025,Renan Roberto Rubim,Isabela Rita Hernendes Peres
